Numéro (à renseigner),Arrondissement,Quartier / Village,Nom du chef (à renseigner)
,AVLEKETE,ADOUNKO,
,AVLEKETE,ADOUNKO AYIGNON,
,AVLEKETE,AGBANZIN-KPOTA,
,AVLEKETE,AGOUIN,
,AVLEKETE,AHOUANDJI,
,AVLEKETE,AVLEKETE,
,AVLEKETE,HIYO,
,AVLEKETE,HIYO HOUEGBO,
,GAKPE,AMOULEHOUE,
,GAKPE,FONKOUNME,
,GAKPE,GAKPE,
,GAKPE,TOHONOU,
,HOUAKPE DAHO,AZIZAKOUE,
,HOUAKPE DAHO,DJEGBAME,
,HOUAKPE DAHO,GBEHONOU,
,HOUAKPE DAHO,GBEZOUNME,
,HOUAKPE DAHO,HOUAKPE-DAHO,
,HOUAKPE DAHO,SEYIGBE,
,HOUAKPE DAHO,TOLIGBE,
,DJEGBADJI,AGBANLINDJEHOUE,
,DJEGBADJI,AÏDO,
,DJEGBADJI,DEGOUE,
,DJEGBADJI,DJEGBADJI,
,DJEGBADJI,DJONDJI,
,DJEGBADJI,KOUVENANFIDE,
,DJEGBADJI,MEKO,
,OUIDAH I,ABATTA,
,OUIDAH I,AGBESSIKPE DJIKA,
,OUIDAH I,DANGBEHOUE,
,OUIDAH I,OKE-AGBEDE,
,OUIDAH I,SOGBADJI,
,OUIDAH I,ZOMAÏ,
,OUIDAH I,ZOMAÏ-KPOTA,
,OUIDAH I,ZOUNGBODJI CENTRE,
,OUIDAH II,AHOUANDJIGO,
,OUIDAH II,GANVE,
,OUIDAH II,GBENA-NORD,
,OUIDAH II,GBENA-SUD,
,OUIDAH II,GBETO-NORD,
,OUIDAH II,GBETO-SUD,
,OUIDAH II,HOUEDJEDO,
,OUIDAH II,LEBOU ALAFIA,
,OUIDAH II,LEBOU CAMPTO,
,OUIDAH III,AGBADJIHONTO,
,OUIDAH III,AGBANOU,
,OUIDAH III,FONSRAME,
,OUIDAH III,GOMEY,
,OUIDAH III,HEHOUNLI,
,OUIDAH III,KPASSE,
,OUIDAH III,YAMADJAKO,
,OUIDAH III,ZONGO MALECOME,
,OUIDAH IV,DOCOMEY,
,OUIDAH IV,TOVE KPASSEZOUNTO,
,OUIDAH IV,TOVE ZOBETO,
,OUIDAH IV,VASSEHO,
,OUIDAH IV,WAGNILO,
,OUIDAH IV,WOMEY,
,PAHOU I,HOUNHANMEDE,
,PAHOU I,PAHOU CENTRE,
,PAHOU I,SATCHACODJI,
,PAHOU II,AHOUICODJI,
,PAHOU II,AHOZON,
,PAHOU II,HOUNDJAVA,
,PAHOU III,ADJRA-ADOVIE,
,PAHOU III,ADJRA-HOUNVE,
,PAHOU III,KPOVIE,
,PAHOU IV,ACADJAME,
,PAHOU IV,SELLOLI-BAZOUNKPA,
,PAHOU IV,ZOUNGOUDO,
,SAVI,ADJOHOUNDJA-MONSO,
,SAVI,ASSOGBENOU-DAHO,
,SAVI,BOSSOUVI,
,SAVI,DEKOUENOU,
,SAVI,HOUEYIHO,
,SAVI,MINANTINKPON,
,SAVI,OUESSE,
,SAVI,SAVI-HOUETON,
